COU,Country,VAR,Indicator,YEAR,Year,Value,Flag Codes,Flags
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2000,2000,420.3551928,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2001,2001,392.4561029,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2002,2002,405.5648316,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2003,2003,344.4072597,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2004,2004,320.2179556,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2005,2005,294.669724,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2006,2006,215.6048346,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2007,2007,196.3651523,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2008,2008,177.2019533,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2009,2009,191.3125834,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2010,2010,187.2099166,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2011,2011,181.975601,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2012,2012,182.8028688,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2013,2013,192.2033882,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2014,2014,186.5901274,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2015,2015,214.2561068,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2016,2016,193.2539579,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2017,2017,176.8073551,,
ALB,Albania,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2018,2018,145.0889515,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2000,2000,0.47459119,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2001,2001,0.50360911,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2002,2002,0.579016785,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2003,2003,0.63014769,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2004,2004,0.75925349,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2005,2005,0.787884523,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2006,2006,0.64093797,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2007,2007,0.705940067,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2008,2008,0.774468211,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2009,2009,0.787086608,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2010,2010,0.766503228,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2011,2011,0.807451479,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2012,2012,0.776479183,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2013,2013,0.848205515,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2014,2014,0.854333731,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2015,2015,0.846912021,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2016,2016,0.796990092,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2017,2017,0.801120045,,
ALB,Albania,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2018,2018,0.766705415,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2000,2000,47.54495776,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2001,2001,47.79901309,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2002,2002,47.10494038,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2003,2003,50.11006174,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2004,2004,57.35340432,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2005,2005,62.02855813,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2006,2006,50.57594288,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2007,2007,55.52697091,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2008,2008,61.54736578,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2009,2009,61.18083601,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2010,2010,56.81093046,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2011,2011,56.63635025,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2012,2012,64.62584975,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2013,2013,67.34773189,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2014,2014,59.86531717,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2015,2015,63.78639406,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2016,2016,62.38736262,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2017,2017,53.01655224,,
ALB,Albania,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2018,2018,51.07192987,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2000,2000,89.04854965,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2001,2001,89.59679612,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2002,2002,87.77104539,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2003,2003,91.14694684,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2004,2004,92.39574731,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2005,2005,92.23451387,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2006,2006,90.23475564,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2007,2007,90.56615922,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2008,2008,88.70709336,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2009,2009,98.31656042,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2010,2010,98.39406317,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2011,2011,96.90498439,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2012,2012,97.05652633,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2013,2013,95.52270229,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2014,2014,95.4177013,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2015,2015,95.48908022,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2016,2016,95.06470572,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2017,2017,94.94770598,,
ALB,Albania,IND-ENE-ROAD,Share of CO2 emissions from road in total CO2 emissions from transport,2018,2018,94.48478522,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2000,2000,6.674920278,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2001,2001,5.939988229,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2002,2002,5.181915854,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2003,2003,4.614476192,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2004,2004,2.609722158,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2005,2005,2.527791077,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2006,2006,3.126999114,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2007,2007,3.613376361,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2008,2008,4.563653481,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2009,2009,0.410986667,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2010,2010,0.424123538,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2011,2011,0.403699542,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2012,2012,0.420496239,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2013,2013,0.385643946,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2014,2014,0.255767324,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2015,2015,0.258761111,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2016,2016,0.275409384,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2017,2017,0.287968987,,
ALB,Albania,IND-ENE-RAIL,Share of CO2 emissions from rail in total CO2 emissions from transport,2018,2018,0.301638193,,
ALB,Albania,IND-ENE-MAR,Share of CO2 emissions from international maritime bunkers in total CO2 emissions,2013,2013,1.731473863,,
ALB,Albania,IND-ENE-MAR,Share of CO2 emissions from international maritime bunkers in total CO2 emissions,2014,2014,1.531231961,,
ALB,Albania,IND-ENE-MAR,Share of CO2 emissions from international maritime bunkers in total CO2 emissions,2015,2015,1.650622255,,
ALB,Albania,IND-ENE-MAR,Share of CO2 emissions from international maritime bunkers in total CO2 emissions,2016,2016,2.921087154,,
ALB,Albania,IND-ENE-MAR,Share of CO2 emissions from international maritime bunkers in total CO2 emissions,2017,2017,2.617221057,,
ALB,Albania,IND-ENE-MAR,Share of CO2 emissions from international maritime bunkers in total CO2 emissions,2018,2018,2.274092046,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2000,2000,3.988389629,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2001,2001,4.100254638,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2002,2002,3.525032531,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2003,2003,3.780347426,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2004,2004,3.68295355,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2005,2005,4.581483747,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2006,2006,3.648095264,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2007,2007,1.54717261,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2008,2008,2.15547808,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2009,2009,1.551153275,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2010,2010,1.329923924,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2011,2011,1.484595122,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2012,2012,1.764505012,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2013,2013,1.770884757,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2014,2014,0.596650028,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2015,2015,0.160792721,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2016,2016,0.502152861,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2017,2017,0.51542949,,
ALB,Albania,IND-ENE-AVIA-INT,Share of CO2 emissions from international aviation bunkers in total CO2 emissions,2018,2018,0.47802969,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2000,2000,298.2897367,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2001,2001,267.7263376,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2002,2002,228.4026217,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2003,2003,208.5593694,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2004,2004,169.7750268,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2005,2005,137.0429912,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2006,2006,104.1635199,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2007,2007,115.0289317,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2008,2008,107.9095015,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2009,2009,132.135212,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2010,2010,136.3902836,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2011,2011,127.6788328,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2012,2012,122.4928636,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2013,2013,114.9347739,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2014,2014,146.921922,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2015,2015,156.9036333,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2016,2016,149.8310817,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2017,2017,145.1851655,,
ARM,Armenia,IND-ENE-GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,2018,2018,145.6316132,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2000,2000,0.185757647,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2001,2001,0.185909272,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2002,2002,0.178893189,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2003,2003,0.193989129,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2004,2004,0.202357767,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2005,2005,0.225264812,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2006,2006,0.22479986,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2007,2007,0.36110772,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2008,2008,0.432809606,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2009,2009,0.395658102,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2010,2010,0.438954805,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2011,2011,0.450170657,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2012,2012,0.45100129,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2013,2013,0.441140964,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2014,2014,0.585664827,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2015,2015,0.56599795,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2016,2016,0.538167721,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2017,2017,0.568327521,,
ARM,Armenia,IND-ENE-PC,CO2 emissions from transport in tonnes per inhabitant,2018,2018,0.614636748,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2000,2000,16.66155307,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2001,2001,16.39875669,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2002,2002,18.66886344,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2003,2003,17.87484925,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2004,2004,17.5217789,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2005,2005,16.26148649,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2006,2006,16.02080934,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2007,2007,22.07316514,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2008,2008,23.86437766,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2009,2009,26.76431322,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2010,2010,31.19898722,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2011,2011,27.712024,,
ARM,Armenia,IND-ENE-SHARE,Share of CO2 emissions from transport in total CO2 emissions,2012,2012,23.9178865,,
