COU,Country,VAR,Indicator,YEAR,Year,Value,Flag Codes,Flags
ALB,Albania,IND-EQUI-RAILSEATS-GDP,Rail passenger seats and berths per one million units of current USD GDP,2000,2000,1.720387549,,
ALB,Albania,IND-EQUI-RAILSEATS-GDP,Rail passenger seats and berths per one million units of current USD GDP,2004,2004,0.88727505,,
ALB,Albania,IND-EQUI-RAILSEATS-GDP,Rail passenger seats and berths per one million units of current USD GDP,2005,2005,0.79085162,,
ALB,Albania,IND-EQUI-RAILSEATS-GDP,Rail passenger seats and berths per one million units of current USD GDP,2006,2006,0.715821221,,
ALB,Albania,IND-EQUI-RAILSEATS-GDP,Rail passenger seats and berths per one million units of current USD GDP,2007,2007,0.596404218,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2000,2000,10.03559404,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2004,2004,4.2463245,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2005,2005,4.585896188,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2006,2006,4.150818844,,
ALB,Albania,IND-EQUI-RAILTONS-GDP,Rail freight loading capacity per one million units of current USD GDP,2007,2007,3.000096785,,
ALB,Albania,IND-EQUI-RAILSEATS-PC,Rail passenger seats and berths per one thousand inhabitants,2000,2000,1.942359196,,
ALB,Albania,IND-EQUI-RAILSEATS-PC,Rail passenger seats and berths per one thousand inhabitants,2004,2004,2.103775464,,
ALB,Albania,IND-EQUI-RAILSEATS-PC,Rail passenger seats and berths per one thousand inhabitants,2005,2005,2.114569978,,
ALB,Albania,IND-EQUI-RAILSEATS-PC,Rail passenger seats and berths per one thousand inhabitants,2006,2006,2.127953212,,
ALB,Albania,IND-EQUI-RAILSEATS-PC,Rail passenger seats and berths per one thousand inhabitants,2007,2007,2.144095472,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2000,2000,11.33042864,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2004,2004,10.06825707,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2005,2005,12.26171655,,
ALB,Albania,IND-EQUI-RAILTONS-PC,Rail freight loading capacity per one thousand inhabitants,2006,2006,12.33932165,,
