Entity,Code,Year,Renewables per capita (kWh)
Africa,,1965,0.12065300000000001
Africa,,1966,0.131249
Africa,,1967,0.1336
Africa,,1968,0.15235900000000002
Africa,,1969,0.173317
Africa,,1970,0.21117500000000003
Africa,,1971,0.19495500000000002
Africa,,1972,0.216209
Africa,,1973,0.22273300000000001
Africa,,1974,0.246655
Africa,,1975,0.253813
Africa,,1976,0.27366
Africa,,1977,0.29244
Africa,,1978,0.286792
Africa,,1979,0.29845499999999997
Africa,,1980,0.28291000000000005
Africa,,1981,0.28577400000000003
Africa,,1982,0.277992
Africa,,1983,0.243646
Africa,,1984,0.232932
Africa,,1985,0.251734
Africa,,1986,0.254996
Africa,,1987,0.237922
Africa,,1988,0.25234100000000004
Africa,,1989,0.257594
Africa,,1990,0.25568
Africa,,1991,0.263639
Africa,,1992,0.24531200000000003
Africa,,1993,0.23465
Africa,,1994,0.232019
Africa,,1995,0.235445
Africa,,1996,0.240183
Africa,,1997,0.24046199999999998
Africa,,1998,0.245892
Africa,,1999,0.254088
Africa,,2000,0.266152
Africa,,2001,0.27777300000000005
Africa,,2002,0.283219
Africa,,2003,0.268796
Africa,,2004,0.276158
Africa,,2005,0.272745
Africa,,2006,0.2758
Africa,,2007,0.27460300000000004
Africa,,2008,0.27214499999999997
Africa,,2009,0.27197699999999997
Africa,,2010,0.28542
Africa,,2011,0.285258
Africa,,2012,0.27908
Africa,,2013,0.288426
Africa,,2014,0.301105
Africa,,2015,0.298712
Africa,,2016,0.289087
Africa,,2017,0.303573
Africa,,2018,0.317342
Africa,,2019,0.337336
Algeria,DZA,1965,0.08852800000000001
Algeria,DZA,1966,0.07642499999999999
Algeria,DZA,1967,0.08579200000000001
Algeria,DZA,1968,0.114453
Algeria,DZA,1969,0.07131100000000001
Algeria,DZA,1970,0.11137999999999999
Algeria,DZA,1971,0.061637000000000004
Algeria,DZA,1972,0.089952
Algeria,DZA,1973,0.132966
Algeria,DZA,1974,0.08548900000000001
Algeria,DZA,1975,0.05486
Algeria,DZA,1976,0.06324199999999999
Algeria,DZA,1977,0.042497
Algeria,DZA,1978,0.038363
Algeria,DZA,1979,0.043347000000000004
Algeria,DZA,1980,0.037139000000000005
Algeria,DZA,1981,0.051285
Algeria,DZA,1982,0.065054
Algeria,DZA,1983,0.030934000000000003
Algeria,DZA,1984,0.05769
Algeria,DZA,1985,0.07999500000000001
Algeria,DZA,1986,0.03006
Algeria,DZA,1987,0.058304
Algeria,DZA,1988,0.020797
Algeria,DZA,1989,0.025005
Algeria,DZA,1990,0.014558
Algeria,DZA,1991,0.030829000000000002
Algeria,DZA,1992,0.020452
Algeria,DZA,1993,0.035481000000000006
Algeria,DZA,1994,0.016343
Algeria,DZA,1995,0.018642
Algeria,DZA,1996,0.012814
Algeria,DZA,1997,0.007004
Algeria,DZA,1998,0.019780000000000002
Algeria,DZA,1999,0.018414000000000003
Algeria,DZA,2000,0.004832
Algeria,DZA,2001,0.006054
Algeria,DZA,2002,0.004906
Algeria,DZA,2003,0.022377
Algeria,DZA,2004,0.020784
Algeria,DZA,2005,0.045058
Algeria,DZA,2006,0.017289000000000002
Algeria,DZA,2007,0.017570000000000002
Algeria,DZA,2008,0.02151
Algeria,DZA,2009,0.025393000000000002
Algeria,DZA,2010,0.013196999999999999
Algeria,DZA,2011,0.028001
Algeria,DZA,2012,0.028643000000000002
Algeria,DZA,2013,0.008565
Algeria,DZA,2014,0.016607
Algeria,DZA,2015,0.014136
Algeria,DZA,2016,0.02084
Algeria,DZA,2017,0.034973
Algeria,DZA,2018,0.042965
Algeria,DZA,2019,0.044661
Argentina,ARG,1965,0.153555
Argentina,ARG,1966,0.153251
Argentina,ARG,1967,0.15465199999999998
Argentina,ARG,1968,0.179606
Argentina,ARG,1969,0.158744
Argentina,ARG,1970,0.186404
Argentina,ARG,1971,0.182498
Argentina,ARG,1972,0.176714
Argentina,ARG,1973,0.33736
Argentina,ARG,1974,0.5539919999999999
Argentina,ARG,1975,0.56444
Argentina,ARG,1976,0.5354829999999999
Argentina,ARG,1977,0.606364
Argentina,ARG,1978,0.8012910000000001
Argentina,ARG,1979,1.0864390000000002
Argentina,ARG,1980,1.5165170000000001
Argentina,ARG,1981,1.446743
Argentina,ARG,1982,1.706404
Argentina,ARG,1983,1.761512
Argentina,ARG,1984,1.86612
Argentina,ARG,1985,1.9075010000000001
Argentina,ARG,1986,1.910675
Argentina,ARG,1987,1.9551669999999999
Argentina,ARG,1988,1.329212
Argentina,ARG,1989,1.130569
Argentina,ARG,1990,1.531382
Argentina,ARG,1991,1.370508
Argentina,ARG,1992,1.647076
Argentina,ARG,1993,1.934953
Argentina,ARG,1994,2.268221
Argentina,ARG,1995,2.278956
Argentina,ARG,1996,2.073223
Argentina,ARG,1997,2.6089789999999997
Argentina,ARG,1998,2.535551
Argentina,ARG,1999,2.073058
Argentina,ARG,2000,2.6175230000000003
Argentina,ARG,2001,3.151093
Argentina,ARG,2002,3.084571
Argentina,ARG,2003,2.873439
Argentina,ARG,2004,2.558176
Argentina,ARG,2005,2.800738
Argentina,ARG,2006,3.079184
Argentina,ARG,2007,2.635797
Argentina,ARG,2008,2.564317
Argentina,ARG,2009,2.7573220000000003
Argentina,ARG,2010,2.8606309999999997
Argentina,ARG,2011,2.838265
Argentina,ARG,2012,2.709964
Argentina,ARG,2013,2.932792
Argentina,ARG,2014,2.945296
Argentina,ARG,2015,2.985942
Argentina,ARG,2016,2.7326129999999997
Argentina,ARG,2017,2.962672
Argentina,ARG,2018,2.962767
Argentina,ARG,2019,2.91184
Australia,AUS,1965,1.9608130000000001
Australia,AUS,1966,1.827983
Australia,AUS,1967,1.843089
Australia,AUS,1968,1.8719770000000002
Australia,AUS,1969,1.989227
Australia,AUS,1970,2.265061
Australia,AUS,1971,2.5086860000000004
Australia,AUS,1972,2.4819050000000002
Australia,AUS,1973,2.61065
Australia,AUS,1974,2.920062
Australia,AUS,1975,3.1012399999999998
Australia,AUS,1976,2.9176770000000003
Australia,AUS,1977,2.754118
Australia,AUS,1978,2.939848
Australia,AUS,1979,2.826165
Australia,AUS,1980,2.637558
